group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_circle_zero_area,,,,1117246.0,ns,61
Zero Area Checks,any_circle_zero_area,,,,2156226.0,ns,122
Zero Area Checks,any_circle_zero_area,,,,2961617.0,ns,183
Zero Area Checks,any_circle_zero_area,,,,4016434.0,ns,244
Zero Area Checks,any_circle_zero_area,,,,4821968.0,ns,305
Zero Area Checks,any_circle_zero_area,,,,5853511.0,ns,366
Zero Area Checks,any_circle_zero_area,,,,7181503.0,ns,427
Zero Area Checks,any_circle_zero_area,,,,7931086.0,ns,488
Zero Area Checks,any_circle_zero_area,,,,8452174.0,ns,549
Zero Area Checks,any_circle_zero_area,,,,9684310.0,ns,610
Zero Area Checks,any_circle_zero_area,,,,10784006.0,ns,671
Zero Area Checks,any_circle_zero_area,,,,11629014.0,ns,732
Zero Area Checks,any_circle_zero_area,,,,12549613.0,ns,793
Zero Area Checks,any_circle_zero_area,,,,13486328.0,ns,854
Zero Area Checks,any_circle_zero_area,,,,14611825.0,ns,915
Zero Area Checks,any_circle_zero_area,,,,15834543.0,ns,976
Zero Area Checks,any_circle_zero_area,,,,16712755.0,ns,1037
Zero Area Checks,any_circle_zero_area,,,,17663339.0,ns,1098
Zero Area Checks,any_circle_zero_area,,,,19855293.0,ns,1159
Zero Area Checks,any_circle_zero_area,,,,19803055.0,ns,1220
Zero Area Checks,any_circle_zero_area,,,,21346564.0,ns,1281
Zero Area Checks,any_circle_zero_area,,,,21045945.0,ns,1342
Zero Area Checks,any_circle_zero_area,,,,21892626.0,ns,1403
Zero Area Checks,any_circle_zero_area,,,,24836784.0,ns,1464
Zero Area Checks,any_circle_zero_area,,,,25679888.0,ns,1525
Zero Area Checks,any_circle_zero_area,,,,26480389.0,ns,1586
Zero Area Checks,any_circle_zero_area,,,,26520092.0,ns,1647
Zero Area Checks,any_circle_zero_area,,,,26519559.0,ns,1708
Zero Area Checks,any_circle_zero_area,,,,28272388.0,ns,1769
Zero Area Checks,any_circle_zero_area,,,,29339353.0,ns,1830
