group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,937766.0,ns,31
Zero Area Checks,any_shape_zero_area,,,,1905876.0,ns,62
Zero Area Checks,any_shape_zero_area,,,,2770209.0,ns,93
Zero Area Checks,any_shape_zero_area,,,,3820080.0,ns,124
Zero Area Checks,any_shape_zero_area,,,,4628035.0,ns,155
Zero Area Checks,any_shape_zero_area,,,,6536215.0,ns,186
Zero Area Checks,any_shape_zero_area,,,,6464215.0,ns,217
Zero Area Checks,any_shape_zero_area,,,,7398208.0,ns,248
Zero Area Checks,any_shape_zero_area,,,,8731463.0,ns,279
Zero Area Checks,any_shape_zero_area,,,,10370358.0,ns,310
Zero Area Checks,any_shape_zero_area,,,,10561861.0,ns,341
Zero Area Checks,any_shape_zero_area,,,,11598230.0,ns,372
Zero Area Checks,any_shape_zero_area,,,,12593729.0,ns,403
Zero Area Checks,any_shape_zero_area,,,,13267477.0,ns,434
Zero Area Checks,any_shape_zero_area,,,,14517573.0,ns,465
Zero Area Checks,any_shape_zero_area,,,,14916971.0,ns,496
Zero Area Checks,any_shape_zero_area,,,,16221982.0,ns,527
Zero Area Checks,any_shape_zero_area,,,,16872605.0,ns,558
Zero Area Checks,any_shape_zero_area,,,,18367132.0,ns,589
Zero Area Checks,any_shape_zero_area,,,,20048145.0,ns,620
Zero Area Checks,any_shape_zero_area,,,,19559125.0,ns,651
Zero Area Checks,any_shape_zero_area,,,,20679247.0,ns,682
Zero Area Checks,any_shape_zero_area,,,,22658440.0,ns,713
Zero Area Checks,any_shape_zero_area,,,,22492726.0,ns,744
Zero Area Checks,any_shape_zero_area,,,,25324543.0,ns,775
Zero Area Checks,any_shape_zero_area,,,,25599556.0,ns,806
Zero Area Checks,any_shape_zero_area,,,,25500226.0,ns,837
Zero Area Checks,any_shape_zero_area,,,,26367907.0,ns,868
Zero Area Checks,any_shape_zero_area,,,,28075410.0,ns,899
Zero Area Checks,any_shape_zero_area,,,,31080674.0,ns,930
Zero Area Checks,any_shape_zero_area,,,,29864132.0,ns,961
Zero Area Checks,any_shape_zero_area,,,,31315931.0,ns,992
Zero Area Checks,any_shape_zero_area,,,,31370323.0,ns,1023
Zero Area Checks,any_shape_zero_area,,,,32532258.0,ns,1054
Zero Area Checks,any_shape_zero_area,,,,33668542.0,ns,1085
Zero Area Checks,any_shape_zero_area,,,,34033452.0,ns,1116
Zero Area Checks,any_shape_zero_area,,,,37800208.0,ns,1147
Zero Area Checks,any_shape_zero_area,,,,36010671.0,ns,1178
Zero Area Checks,any_shape_zero_area,,,,37301071.0,ns,1209
Zero Area Checks,any_shape_zero_area,,,,38583511.0,ns,1240
Zero Area Checks,any_shape_zero_area,,,,39133650.0,ns,1271
Zero Area Checks,any_shape_zero_area,,,,42312104.0,ns,1302
Zero Area Checks,any_shape_zero_area,,,,41800233.0,ns,1333
Zero Area Checks,any_shape_zero_area,,,,41945444.0,ns,1364
Zero Area Checks,any_shape_zero_area,,,,41992047.0,ns,1395
Zero Area Checks,any_shape_zero_area,,,,44343337.0,ns,1426
Zero Area Checks,any_shape_zero_area,,,,45672965.0,ns,1457
Zero Area Checks,any_shape_zero_area,,,,45542227.0,ns,1488
Zero Area Checks,any_shape_zero_area,,,,48065744.0,ns,1519
Zero Area Checks,any_shape_zero_area,,,,47306609.0,ns,1550
Zero Area Checks,any_shape_zero_area,,,,49713169.0,ns,1581
Zero Area Checks,any_shape_zero_area,,,,49207213.0,ns,1612
Zero Area Checks,any_shape_zero_area,,,,51355289.0,ns,1643
Zero Area Checks,any_shape_zero_area,,,,51427648.0,ns,1674
Zero Area Checks,any_shape_zero_area,,,,52271011.0,ns,1705
