group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
any_shape_zero_area,,,,,962114.0,ns,35
any_shape_zero_area,,,,,2044889.0,ns,70
any_shape_zero_area,,,,,3103356.0,ns,105
any_shape_zero_area,,,,,3907905.0,ns,140
any_shape_zero_area,,,,,4815404.0,ns,175
any_shape_zero_area,,,,,5933258.0,ns,210
any_shape_zero_area,,,,,7403428.0,ns,245
any_shape_zero_area,,,,,8581867.0,ns,280
any_shape_zero_area,,,,,9450389.0,ns,315
any_shape_zero_area,,,,,9985286.0,ns,350
any_shape_zero_area,,,,,10849583.0,ns,385
any_shape_zero_area,,,,,11700407.0,ns,420
any_shape_zero_area,,,,,13103239.0,ns,455
any_shape_zero_area,,,,,14267698.0,ns,490
any_shape_zero_area,,,,,14646394.0,ns,525
any_shape_zero_area,,,,,16134941.0,ns,560
any_shape_zero_area,,,,,17856820.0,ns,595
any_shape_zero_area,,,,,17258274.0,ns,630
any_shape_zero_area,,,,,19635566.0,ns,665
any_shape_zero_area,,,,,20512257.0,ns,700
any_shape_zero_area,,,,,21196229.0,ns,735
any_shape_zero_area,,,,,23054518.0,ns,770
any_shape_zero_area,,,,,23509236.0,ns,805
any_shape_zero_area,,,,,23810226.0,ns,840
any_shape_zero_area,,,,,25565540.0,ns,875
any_shape_zero_area,,,,,26304557.0,ns,910
any_shape_zero_area,,,,,27990594.0,ns,945
any_shape_zero_area,,,,,27640284.0,ns,980
any_shape_zero_area,,,,,28662000.0,ns,1015
any_shape_zero_area,,,,,29737452.0,ns,1050
any_shape_zero_area,,,,,31720271.0,ns,1085
any_shape_zero_area,,,,,32396625.0,ns,1120
any_shape_zero_area,,,,,34021858.0,ns,1155
any_shape_zero_area,,,,,34328634.0,ns,1190
any_shape_zero_area,,,,,34354523.0,ns,1225
any_shape_zero_area,,,,,36219360.0,ns,1260
any_shape_zero_area,,,,,37393752.0,ns,1295
any_shape_zero_area,,,,,38120648.0,ns,1330
any_shape_zero_area,,,,,38723107.0,ns,1365
any_shape_zero_area,,,,,41552204.0,ns,1400
any_shape_zero_area,,,,,42297416.0,ns,1435
any_shape_zero_area,,,,,41923133.0,ns,1470
any_shape_zero_area,,,,,42929793.0,ns,1505
any_shape_zero_area,,,,,43706399.0,ns,1540
any_shape_zero_area,,,,,44620766.0,ns,1575
any_shape_zero_area,,,,,46690353.0,ns,1610
any_shape_zero_area,,,,,46430326.0,ns,1645
any_shape_zero_area,,,,,47594561.0,ns,1680
any_shape_zero_area,,,,,49192390.0,ns,1715
any_shape_zero_area,,,,,49637456.0,ns,1750
any_shape_zero_area,,,,,51648873.0,ns,1785
any_shape_zero_area,,,,,52134920.0,ns,1820
any_shape_zero_area,,,,,54248794.0,ns,1855
any_shape_zero_area,,,,,54941690.0,ns,1890
any_shape_zero_area,,,,,55071215.0,ns,1925
any_shape_zero_area,,,,,56576179.0,ns,1960
any_shape_zero_area,,,,,58654616.0,ns,1995
any_shape_zero_area,,,,,60183434.0,ns,2030
any_shape_zero_area,,,,,60039490.0,ns,2065
any_shape_zero_area,,,,,60325100.0,ns,2100
any_shape_zero_area,,,,,61774406.0,ns,2135
any_shape_zero_area,,,,,62151710.0,ns,2170
any_shape_zero_area,,,,,62491516.0,ns,2205
any_shape_zero_area,,,,,64386600.0,ns,2240
any_shape_zero_area,,,,,65327153.0,ns,2275
any_shape_zero_area,,,,,66800914.0,ns,2310
any_shape_zero_area,,,,,65734732.0,ns,2345
any_shape_zero_area,,,,,67982295.0,ns,2380
any_shape_zero_area,,,,,68755032.0,ns,2415
any_shape_zero_area,,,,,72035921.0,ns,2450
any_shape_zero_area,,,,,73040991.0,ns,2485
any_shape_zero_area,,,,,72594238.0,ns,2520
any_shape_zero_area,,,,,74116084.0,ns,2555
any_shape_zero_area,,,,,74665269.0,ns,2590
any_shape_zero_area,,,,,75658239.0,ns,2625
any_shape_zero_area,,,,,76920169.0,ns,2660
any_shape_zero_area,,,,,78070611.0,ns,2695
any_shape_zero_area,,,,,78077352.0,ns,2730
any_shape_zero_area,,,,,84648319.0,ns,2765
any_shape_zero_area,,,,,82470618.0,ns,2800
any_shape_zero_area,,,,,85385026.0,ns,2835
any_shape_zero_area,,,,,83241162.0,ns,2870
any_shape_zero_area,,,,,85875676.0,ns,2905
any_shape_zero_area,,,,,87186197.0,ns,2940
any_shape_zero_area,,,,,89638203.0,ns,2975
any_shape_zero_area,,,,,86009276.0,ns,3010
any_shape_zero_area,,,,,86497629.0,ns,3045
any_shape_zero_area,,,,,88720008.0,ns,3080
any_shape_zero_area,,,,,89907162.0,ns,3115
any_shape_zero_area,,,,,90017773.0,ns,3150
any_shape_zero_area,,,,,91664513.0,ns,3185
any_shape_zero_area,,,,,91698486.0,ns,3220
any_shape_zero_area,,,,,94712024.0,ns,3255
any_shape_zero_area,,,,,95852531.0,ns,3290
any_shape_zero_area,,,,,94135485.0,ns,3325
any_shape_zero_area,,,,,96194124.0,ns,3360
any_shape_zero_area,,,,,99409463.0,ns,3395
any_shape_zero_area,,,,,98239712.0,ns,3430
any_shape_zero_area,,,,,100595046.0,ns,3465
any_shape_zero_area,,,,,100765150.0,ns,3500
