group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_7,,,,,1148434.0,ns,7577
hailstone_sequence_append_7,,,,,1898908.0,ns,15154
hailstone_sequence_append_7,,,,,3000299.0,ns,22731
hailstone_sequence_append_7,,,,,3795387.0,ns,30308
hailstone_sequence_append_7,,,,,4820791.0,ns,37885
hailstone_sequence_append_7,,,,,5510990.0,ns,45462
hailstone_sequence_append_7,,,,,7272260.0,ns,53039
hailstone_sequence_append_7,,,,,7830987.0,ns,60616
hailstone_sequence_append_7,,,,,9055848.0,ns,68193
hailstone_sequence_append_7,,,,,12237415.0,ns,75770
hailstone_sequence_append_7,,,,,11848072.0,ns,83347
hailstone_sequence_append_7,,,,,11938146.0,ns,90924
hailstone_sequence_append_7,,,,,12282916.0,ns,98501
hailstone_sequence_append_7,,,,,13845502.0,ns,106078
hailstone_sequence_append_7,,,,,14540113.0,ns,113655
hailstone_sequence_append_7,,,,,15375534.0,ns,121232
hailstone_sequence_append_7,,,,,16780808.0,ns,128809
hailstone_sequence_append_7,,,,,17846943.0,ns,136386
hailstone_sequence_append_7,,,,,21168498.0,ns,143963
hailstone_sequence_append_7,,,,,20636462.0,ns,151540
hailstone_sequence_append_7,,,,,21267939.0,ns,159117
hailstone_sequence_append_7,,,,,25631376.0,ns,166694
hailstone_sequence_append_7,,,,,22240318.0,ns,174271
hailstone_sequence_append_7,,,,,24401188.0,ns,181848
hailstone_sequence_append_7,,,,,24703539.0,ns,189425
hailstone_sequence_append_7,,,,,27397031.0,ns,197002
hailstone_sequence_append_7,,,,,28464103.0,ns,204579
hailstone_sequence_append_7,,,,,27551592.0,ns,212156
hailstone_sequence_append_7,,,,,30070050.0,ns,219733
hailstone_sequence_append_7,,,,,32834820.0,ns,227310
hailstone_sequence_append_7,,,,,30449854.0,ns,234887
hailstone_sequence_append_7,,,,,30270368.0,ns,242464
hailstone_sequence_append_7,,,,,31023310.0,ns,250041
hailstone_sequence_append_7,,,,,34678798.0,ns,257618
hailstone_sequence_append_7,,,,,33494835.0,ns,265195
hailstone_sequence_append_7,,,,,35208492.0,ns,272772
hailstone_sequence_append_7,,,,,37402503.0,ns,280349
hailstone_sequence_append_7,,,,,35801312.0,ns,287926
hailstone_sequence_append_7,,,,,37959757.0,ns,295503
hailstone_sequence_append_7,,,,,38737113.0,ns,303080
hailstone_sequence_append_7,,,,,39253567.0,ns,310657
hailstone_sequence_append_7,,,,,41111932.0,ns,318234
hailstone_sequence_append_7,,,,,40308479.0,ns,325811
hailstone_sequence_append_7,,,,,43472594.0,ns,333388
hailstone_sequence_append_7,,,,,43165313.0,ns,340965
hailstone_sequence_append_7,,,,,45070261.0,ns,348542
hailstone_sequence_append_7,,,,,45287371.0,ns,356119
hailstone_sequence_append_7,,,,,48338198.0,ns,363696
hailstone_sequence_append_7,,,,,52425869.0,ns,371273
hailstone_sequence_append_7,,,,,48685181.0,ns,378850
hailstone_sequence_append_7,,,,,49298332.0,ns,386427
hailstone_sequence_append_7,,,,,50046866.0,ns,394004
hailstone_sequence_append_7,,,,,52227200.0,ns,401581
hailstone_sequence_append_7,,,,,53252523.0,ns,409158
hailstone_sequence_append_7,,,,,52837304.0,ns,416735
hailstone_sequence_append_7,,,,,55996207.0,ns,424312
hailstone_sequence_append_7,,,,,54493033.0,ns,431889
hailstone_sequence_append_7,,,,,56399376.0,ns,439466
hailstone_sequence_append_7,,,,,56504174.0,ns,447043
hailstone_sequence_append_7,,,,,57925386.0,ns,454620
hailstone_sequence_append_7,,,,,58591461.0,ns,462197
hailstone_sequence_append_7,,,,,59584993.0,ns,469774
hailstone_sequence_append_7,,,,,60508846.0,ns,477351
hailstone_sequence_append_7,,,,,61366460.0,ns,484928
hailstone_sequence_append_7,,,,,63673327.0,ns,492505
hailstone_sequence_append_7,,,,,62756414.0,ns,500082
hailstone_sequence_append_7,,,,,66839574.0,ns,507659
