group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_prealloc_162964,,,,,900565.0,ns,7278
hailstone_sequence_prealloc_162964,,,,,2079064.0,ns,14556
hailstone_sequence_prealloc_162964,,,,,3142649.0,ns,21834
hailstone_sequence_prealloc_162964,,,,,5229310.0,ns,29112
hailstone_sequence_prealloc_162964,,,,,4693029.0,ns,36390
hailstone_sequence_prealloc_162964,,,,,5423822.0,ns,43668
hailstone_sequence_prealloc_162964,,,,,6807393.0,ns,50946
hailstone_sequence_prealloc_162964,,,,,8241589.0,ns,58224
hailstone_sequence_prealloc_162964,,,,,8554336.0,ns,65502
hailstone_sequence_prealloc_162964,,,,,10306536.0,ns,72780
hailstone_sequence_prealloc_162964,,,,,11309369.0,ns,80058
hailstone_sequence_prealloc_162964,,,,,11550341.0,ns,87336
hailstone_sequence_prealloc_162964,,,,,12692112.0,ns,94614
hailstone_sequence_prealloc_162964,,,,,13480732.0,ns,101892
hailstone_sequence_prealloc_162964,,,,,19664516.0,ns,109170
hailstone_sequence_prealloc_162964,,,,,15531768.0,ns,116448
hailstone_sequence_prealloc_162964,,,,,16215949.0,ns,123726
hailstone_sequence_prealloc_162964,,,,,16960938.0,ns,131004
hailstone_sequence_prealloc_162964,,,,,18357648.0,ns,138282
hailstone_sequence_prealloc_162964,,,,,19554334.0,ns,145560
hailstone_sequence_prealloc_162964,,,,,20105033.0,ns,152838
hailstone_sequence_prealloc_162964,,,,,22260139.0,ns,160116
hailstone_sequence_prealloc_162964,,,,,23538057.0,ns,167394
hailstone_sequence_prealloc_162964,,,,,24080278.0,ns,174672
hailstone_sequence_prealloc_162964,,,,,25166411.0,ns,181950
hailstone_sequence_prealloc_162964,,,,,25387195.0,ns,189228
hailstone_sequence_prealloc_162964,,,,,26395323.0,ns,196506
hailstone_sequence_prealloc_162964,,,,,27510732.0,ns,203784
hailstone_sequence_prealloc_162964,,,,,27693313.0,ns,211062
hailstone_sequence_prealloc_162964,,,,,32058830.0,ns,218340
hailstone_sequence_prealloc_162964,,,,,31172513.0,ns,225618
hailstone_sequence_prealloc_162964,,,,,31493443.0,ns,232896
hailstone_sequence_prealloc_162964,,,,,32397465.0,ns,240174
hailstone_sequence_prealloc_162964,,,,,31770683.0,ns,247452
hailstone_sequence_prealloc_162964,,,,,34861155.0,ns,254730
hailstone_sequence_prealloc_162964,,,,,35909149.0,ns,262008
hailstone_sequence_prealloc_162964,,,,,37008975.0,ns,269286
hailstone_sequence_prealloc_162964,,,,,38284576.0,ns,276564
hailstone_sequence_prealloc_162964,,,,,37548271.0,ns,283842
hailstone_sequence_prealloc_162964,,,,,38265112.0,ns,291120
hailstone_sequence_prealloc_162964,,,,,39201521.0,ns,298398
hailstone_sequence_prealloc_162964,,,,,40765875.0,ns,305676
hailstone_sequence_prealloc_162964,,,,,41075728.0,ns,312954
hailstone_sequence_prealloc_162964,,,,,43404137.0,ns,320232
hailstone_sequence_prealloc_162964,,,,,44459606.0,ns,327510
hailstone_sequence_prealloc_162964,,,,,43958497.0,ns,334788
hailstone_sequence_prealloc_162964,,,,,46407625.0,ns,342066
hailstone_sequence_prealloc_162964,,,,,47841715.0,ns,349344
hailstone_sequence_prealloc_162964,,,,,47661966.0,ns,356622
hailstone_sequence_prealloc_162964,,,,,48701944.0,ns,363900
