group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
just_clone,,,,,969728.0,ns,33987144
just_clone,,,,,1911946.0,ns,67974288
just_clone,,,,,2952929.0,ns,101961432
just_clone,,,,,3919609.0,ns,135948576
just_clone,,,,,4701665.0,ns,169935720
just_clone,,,,,5695223.0,ns,203922864
just_clone,,,,,6637743.0,ns,237910008
just_clone,,,,,7544167.0,ns,271897152
just_clone,,,,,8721515.0,ns,305884296
just_clone,,,,,9667192.0,ns,339871440
just_clone,,,,,10415023.0,ns,373858584
just_clone,,,,,11737894.0,ns,407845728
just_clone,,,,,12475761.0,ns,441832872
just_clone,,,,,13540500.0,ns,475820016
just_clone,,,,,14244772.0,ns,509807160
just_clone,,,,,15157778.0,ns,543794304
just_clone,,,,,16200971.0,ns,577781448
just_clone,,,,,17011223.0,ns,611768592
just_clone,,,,,18025838.0,ns,645755736
just_clone,,,,,18909306.0,ns,679742880
just_clone,,,,,20062243.0,ns,713730024
just_clone,,,,,21444283.0,ns,747717168
just_clone,,,,,22578991.0,ns,781704312
just_clone,,,,,23235212.0,ns,815691456
just_clone,,,,,23906020.0,ns,849678600
just_clone,,,,,24761454.0,ns,883665744
just_clone,,,,,25662128.0,ns,917652888
just_clone,,,,,26586420.0,ns,951640032
just_clone,,,,,27484176.0,ns,985627176
just_clone,,,,,28406811.0,ns,1019614320
just_clone,,,,,29379798.0,ns,1053601464
just_clone,,,,,30426293.0,ns,1087588608
just_clone,,,,,31797194.0,ns,1121575752
just_clone,,,,,33075526.0,ns,1155562896
just_clone,,,,,33464922.0,ns,1189550040
just_clone,,,,,34002077.0,ns,1223537184
just_clone,,,,,35114278.0,ns,1257524328
just_clone,,,,,36580667.0,ns,1291511472
just_clone,,,,,37596225.0,ns,1325498616
just_clone,,,,,38021536.0,ns,1359485760
just_clone,,,,,38984198.0,ns,1393472904
just_clone,,,,,39808708.0,ns,1427460048
just_clone,,,,,41149803.0,ns,1461447192
just_clone,,,,,46424732.0,ns,1495434336
just_clone,,,,,44059982.0,ns,1529421480
just_clone,,,,,43756945.0,ns,1563408624
just_clone,,,,,44461732.0,ns,1597395768
just_clone,,,,,45545366.0,ns,1631382912
just_clone,,,,,48669968.0,ns,1665370056
just_clone,,,,,48189442.0,ns,1699357200
just_clone,,,,,51831861.0,ns,1733344344
just_clone,,,,,51412421.0,ns,1767331488
just_clone,,,,,50768855.0,ns,1801318632
just_clone,,,,,51566927.0,ns,1835305776
just_clone,,,,,52177900.0,ns,1869292920
just_clone,,,,,53252190.0,ns,1903280064
just_clone,,,,,54101370.0,ns,1937267208
just_clone,,,,,56023937.0,ns,1971254352
just_clone,,,,,57142661.0,ns,2005241496
just_clone,,,,,58367201.0,ns,2039228640
just_clone,,,,,59272043.0,ns,2073215784
just_clone,,,,,58671425.0,ns,2107202928
just_clone,,,,,59923368.0,ns,2141190072
just_clone,,,,,61476614.0,ns,2175177216
just_clone,,,,,61905964.0,ns,2209164360
just_clone,,,,,63641603.0,ns,2243151504
just_clone,,,,,64746725.0,ns,2277138648
just_clone,,,,,65830189.0,ns,2311125792
just_clone,,,,,68882217.0,ns,2345112936
just_clone,,,,,67736867.0,ns,2379100080
just_clone,,,,,67677105.0,ns,2413087224
just_clone,,,,,70636509.0,ns,2447074368
just_clone,,,,,71095983.0,ns,2481061512
just_clone,,,,,70039269.0,ns,2515048656
just_clone,,,,,73051897.0,ns,2549035800
just_clone,,,,,74332658.0,ns,2583022944
just_clone,,,,,74258333.0,ns,2617010088
just_clone,,,,,80029052.0,ns,2650997232
just_clone,,,,,77036742.0,ns,2684984376
just_clone,,,,,77958187.0,ns,2718971520
just_clone,,,,,77918148.0,ns,2752958664
just_clone,,,,,80137185.0,ns,2786945808
just_clone,,,,,79468902.0,ns,2820932952
just_clone,,,,,79531568.0,ns,2854920096
just_clone,,,,,80272376.0,ns,2888907240
just_clone,,,,,81828721.0,ns,2922894384
just_clone,,,,,83202831.0,ns,2956881528
just_clone,,,,,83881983.0,ns,2990868672
just_clone,,,,,85248664.0,ns,3024855816
just_clone,,,,,86556288.0,ns,3058842960
just_clone,,,,,87936702.0,ns,3092830104
just_clone,,,,,88381280.0,ns,3126817248
just_clone,,,,,87835710.0,ns,3160804392
just_clone,,,,,89691442.0,ns,3194791536
just_clone,,,,,91324688.0,ns,3228778680
just_clone,,,,,90741934.0,ns,3262765824
just_clone,,,,,92057960.0,ns,3296752968
just_clone,,,,,94105569.0,ns,3330740112
just_clone,,,,,96282707.0,ns,3364727256
just_clone,,,,,98158723.0,ns,3398714400
