group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quicksort,,,,,1124715.0,ns,2
quicksort,,,,,2005317.0,ns,4
quicksort,,,,,3343827.0,ns,6
quicksort,,,,,4049474.0,ns,8
quicksort,,,,,5153693.0,ns,10
quicksort,,,,,6138726.0,ns,12
quicksort,,,,,7594591.0,ns,14
quicksort,,,,,8450388.0,ns,16
quicksort,,,,,9717813.0,ns,18
quicksort,,,,,10322285.0,ns,20
quicksort,,,,,11679186.0,ns,22
quicksort,,,,,12396522.0,ns,24
quicksort,,,,,13408201.0,ns,26
quicksort,,,,,14200387.0,ns,28
quicksort,,,,,15172245.0,ns,30
quicksort,,,,,16130484.0,ns,32
quicksort,,,,,17270871.0,ns,34
quicksort,,,,,18335515.0,ns,36
quicksort,,,,,19225977.0,ns,38
quicksort,,,,,20519830.0,ns,40
quicksort,,,,,21252689.0,ns,42
quicksort,,,,,22814617.0,ns,44
quicksort,,,,,24002127.0,ns,46
quicksort,,,,,25352491.0,ns,48
quicksort,,,,,26135471.0,ns,50
quicksort,,,,,26927841.0,ns,52
quicksort,,,,,27853293.0,ns,54
quicksort,,,,,30065186.0,ns,56
quicksort,,,,,33299602.0,ns,58
quicksort,,,,,31160128.0,ns,60
quicksort,,,,,31545486.0,ns,62
quicksort,,,,,32236605.0,ns,64
quicksort,,,,,32928473.0,ns,66
quicksort,,,,,33894395.0,ns,68
quicksort,,,,,35185986.0,ns,70
quicksort,,,,,36192736.0,ns,72
quicksort,,,,,37126159.0,ns,74
quicksort,,,,,38565995.0,ns,76
quicksort,,,,,39479320.0,ns,78
quicksort,,,,,40159569.0,ns,80
quicksort,,,,,42024194.0,ns,82
quicksort,,,,,43339385.0,ns,84
quicksort,,,,,43429541.0,ns,86
quicksort,,,,,44127623.0,ns,88
quicksort,,,,,45387763.0,ns,90
quicksort,,,,,46429087.0,ns,92
quicksort,,,,,46894347.0,ns,94
quicksort,,,,,48060089.0,ns,96
quicksort,,,,,49062957.0,ns,98
quicksort,,,,,50843422.0,ns,100
quicksort,,,,,51107042.0,ns,102
quicksort,,,,,52828644.0,ns,104
quicksort,,,,,53266366.0,ns,106
quicksort,,,,,54556620.0,ns,108
quicksort,,,,,54910888.0,ns,110
quicksort,,,,,56060634.0,ns,112
quicksort,,,,,57319542.0,ns,114
quicksort,,,,,58609518.0,ns,116
quicksort,,,,,59744351.0,ns,118
quicksort,,,,,60020376.0,ns,120
quicksort,,,,,61227319.0,ns,122
quicksort,,,,,62550726.0,ns,124
quicksort,,,,,63525579.0,ns,126
quicksort,,,,,64513811.0,ns,128
quicksort,,,,,65008579.0,ns,130
quicksort,,,,,66066038.0,ns,132
quicksort,,,,,67029156.0,ns,134
quicksort,,,,,68464675.0,ns,136
quicksort,,,,,70391430.0,ns,138
quicksort,,,,,70191733.0,ns,140
quicksort,,,,,71623202.0,ns,142
quicksort,,,,,72026130.0,ns,144
quicksort,,,,,73120951.0,ns,146
quicksort,,,,,74377192.0,ns,148
quicksort,,,,,74936156.0,ns,150
quicksort,,,,,77019570.0,ns,152
quicksort,,,,,77458547.0,ns,154
quicksort,,,,,78985181.0,ns,156
quicksort,,,,,79248405.0,ns,158
quicksort,,,,,80768961.0,ns,160
quicksort,,,,,81342170.0,ns,162
quicksort,,,,,82169073.0,ns,164
quicksort,,,,,84146745.0,ns,166
quicksort,,,,,84061266.0,ns,168
quicksort,,,,,85837151.0,ns,170
quicksort,,,,,86907812.0,ns,172
quicksort,,,,,87462308.0,ns,174
quicksort,,,,,87989018.0,ns,176
quicksort,,,,,91191055.0,ns,178
quicksort,,,,,91321016.0,ns,180
quicksort,,,,,91368842.0,ns,182
quicksort,,,,,92230452.0,ns,184
quicksort,,,,,95562275.0,ns,186
quicksort,,,,,94681262.0,ns,188
quicksort,,,,,96156353.0,ns,190
quicksort,,,,,96871313.0,ns,192
quicksort,,,,,97221296.0,ns,194
quicksort,,,,,98346068.0,ns,196
quicksort,,,,,99359212.0,ns,198
quicksort,,,,,100789161.0,ns,200
