group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_rectangle_zero_area,,,,1004453.0,ns,59
Zero Area Checks,any_rectangle_zero_area,,,,2134285.0,ns,118
Zero Area Checks,any_rectangle_zero_area,,,,3162862.0,ns,177
Zero Area Checks,any_rectangle_zero_area,,,,6211070.0,ns,236
Zero Area Checks,any_rectangle_zero_area,,,,5046021.0,ns,295
Zero Area Checks,any_rectangle_zero_area,,,,8170517.0,ns,354
Zero Area Checks,any_rectangle_zero_area,,,,8171509.0,ns,413
Zero Area Checks,any_rectangle_zero_area,,,,7454221.0,ns,472
Zero Area Checks,any_rectangle_zero_area,,,,9255409.0,ns,531
Zero Area Checks,any_rectangle_zero_area,,,,10622872.0,ns,590
Zero Area Checks,any_rectangle_zero_area,,,,11608740.0,ns,649
Zero Area Checks,any_rectangle_zero_area,,,,12740483.0,ns,708
Zero Area Checks,any_rectangle_zero_area,,,,13412953.0,ns,767
Zero Area Checks,any_rectangle_zero_area,,,,13470315.0,ns,826
Zero Area Checks,any_rectangle_zero_area,,,,16583316.0,ns,885
Zero Area Checks,any_rectangle_zero_area,,,,14920039.0,ns,944
Zero Area Checks,any_rectangle_zero_area,,,,17738414.0,ns,1003
Zero Area Checks,any_rectangle_zero_area,,,,18444532.0,ns,1062
Zero Area Checks,any_rectangle_zero_area,,,,19627664.0,ns,1121
Zero Area Checks,any_rectangle_zero_area,,,,20749327.0,ns,1180
Zero Area Checks,any_rectangle_zero_area,,,,20502367.0,ns,1239
Zero Area Checks,any_rectangle_zero_area,,,,22417306.0,ns,1298
Zero Area Checks,any_rectangle_zero_area,,,,23075991.0,ns,1357
Zero Area Checks,any_rectangle_zero_area,,,,23506809.0,ns,1416
Zero Area Checks,any_rectangle_zero_area,,,,23851053.0,ns,1475
Zero Area Checks,any_rectangle_zero_area,,,,24660931.0,ns,1534
Zero Area Checks,any_rectangle_zero_area,,,,26647221.0,ns,1593
Zero Area Checks,any_rectangle_zero_area,,,,27830323.0,ns,1652
Zero Area Checks,any_rectangle_zero_area,,,,28473919.0,ns,1711
Zero Area Checks,any_rectangle_zero_area,,,,29753469.0,ns,1770
Zero Area Checks,any_rectangle_zero_area,,,,30266174.0,ns,1829
Zero Area Checks,any_rectangle_zero_area,,,,31086393.0,ns,1888
Zero Area Checks,any_rectangle_zero_area,,,,33082041.0,ns,1947
Zero Area Checks,any_rectangle_zero_area,,,,34191994.0,ns,2006
Zero Area Checks,any_rectangle_zero_area,,,,33460301.0,ns,2065
Zero Area Checks,any_rectangle_zero_area,,,,34440635.0,ns,2124
Zero Area Checks,any_rectangle_zero_area,,,,35973339.0,ns,2183
Zero Area Checks,any_rectangle_zero_area,,,,37642036.0,ns,2242
Zero Area Checks,any_rectangle_zero_area,,,,37844460.0,ns,2301
Zero Area Checks,any_rectangle_zero_area,,,,39202156.0,ns,2360
Zero Area Checks,any_rectangle_zero_area,,,,41163366.0,ns,2419
Zero Area Checks,any_rectangle_zero_area,,,,41686264.0,ns,2478
Zero Area Checks,any_rectangle_zero_area,,,,42005846.0,ns,2537
Zero Area Checks,any_rectangle_zero_area,,,,47859271.0,ns,2596
Zero Area Checks,any_rectangle_zero_area,,,,43911559.0,ns,2655
Zero Area Checks,any_rectangle_zero_area,,,,50791287.0,ns,2714
Zero Area Checks,any_rectangle_zero_area,,,,45286551.0,ns,2773
Zero Area Checks,any_rectangle_zero_area,,,,48748970.0,ns,2832
Zero Area Checks,any_rectangle_zero_area,,,,48771700.0,ns,2891
Zero Area Checks,any_rectangle_zero_area,,,,47643905.0,ns,2950
Zero Area Checks,any_rectangle_zero_area,,,,50794009.0,ns,3009
Zero Area Checks,any_rectangle_zero_area,,,,53101249.0,ns,3068
Zero Area Checks,any_rectangle_zero_area,,,,53550260.0,ns,3127
Zero Area Checks,any_rectangle_zero_area,,,,55113825.0,ns,3186
Zero Area Checks,any_rectangle_zero_area,,,,54070522.0,ns,3245
Zero Area Checks,any_rectangle_zero_area,,,,55799397.0,ns,3304
Zero Area Checks,any_rectangle_zero_area,,,,55690306.0,ns,3363
Zero Area Checks,any_rectangle_zero_area,,,,57939353.0,ns,3422
Zero Area Checks,any_rectangle_zero_area,,,,60489357.0,ns,3481
Zero Area Checks,any_rectangle_zero_area,,,,61569054.0,ns,3540
Zero Area Checks,any_rectangle_zero_area,,,,62550890.0,ns,3599
Zero Area Checks,any_rectangle_zero_area,,,,63233586.0,ns,3658
Zero Area Checks,any_rectangle_zero_area,,,,62818128.0,ns,3717
Zero Area Checks,any_rectangle_zero_area,,,,62060829.0,ns,3776
Zero Area Checks,any_rectangle_zero_area,,,,63330899.0,ns,3835
Zero Area Checks,any_rectangle_zero_area,,,,65270027.0,ns,3894
Zero Area Checks,any_rectangle_zero_area,,,,65494214.0,ns,3953
Zero Area Checks,any_rectangle_zero_area,,,,66760281.0,ns,4012
Zero Area Checks,any_rectangle_zero_area,,,,66153360.0,ns,4071
Zero Area Checks,any_rectangle_zero_area,,,,69301589.0,ns,4130
Zero Area Checks,any_rectangle_zero_area,,,,71472824.0,ns,4189
Zero Area Checks,any_rectangle_zero_area,,,,76698670.0,ns,4248
Zero Area Checks,any_rectangle_zero_area,,,,69781524.0,ns,4307
Zero Area Checks,any_rectangle_zero_area,,,,73376287.0,ns,4366
Zero Area Checks,any_rectangle_zero_area,,,,72714124.0,ns,4425
Zero Area Checks,any_rectangle_zero_area,,,,75405327.0,ns,4484
Zero Area Checks,any_rectangle_zero_area,,,,76372089.0,ns,4543
Zero Area Checks,any_rectangle_zero_area,,,,76202651.0,ns,4602
Zero Area Checks,any_rectangle_zero_area,,,,77369847.0,ns,4661
Zero Area Checks,any_rectangle_zero_area,,,,78213945.0,ns,4720
Zero Area Checks,any_rectangle_zero_area,,,,79208283.0,ns,4779
Zero Area Checks,any_rectangle_zero_area,,,,81934816.0,ns,4838
Zero Area Checks,any_rectangle_zero_area,,,,80290232.0,ns,4897
Zero Area Checks,any_rectangle_zero_area,,,,83127600.0,ns,4956
Zero Area Checks,any_rectangle_zero_area,,,,83801346.0,ns,5015
Zero Area Checks,any_rectangle_zero_area,,,,85136493.0,ns,5074
Zero Area Checks,any_rectangle_zero_area,,,,85571562.0,ns,5133
Zero Area Checks,any_rectangle_zero_area,,,,87019740.0,ns,5192
Zero Area Checks,any_rectangle_zero_area,,,,89285025.0,ns,5251
Zero Area Checks,any_rectangle_zero_area,,,,88109152.0,ns,5310
Zero Area Checks,any_rectangle_zero_area,,,,88969341.0,ns,5369
Zero Area Checks,any_rectangle_zero_area,,,,89930338.0,ns,5428
Zero Area Checks,any_rectangle_zero_area,,,,92108665.0,ns,5487
Zero Area Checks,any_rectangle_zero_area,,,,90368120.0,ns,5546
Zero Area Checks,any_rectangle_zero_area,,,,91846762.0,ns,5605
Zero Area Checks,any_rectangle_zero_area,,,,94272472.0,ns,5664
Zero Area Checks,any_rectangle_zero_area,,,,93886803.0,ns,5723
Zero Area Checks,any_rectangle_zero_area,,,,95013964.0,ns,5782
Zero Area Checks,any_rectangle_zero_area,,,,96961012.0,ns,5841
Zero Area Checks,any_rectangle_zero_area,,,,98520382.0,ns,5900
