group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
any_circle_zero_area,,,,,988560.0,ns,61
any_circle_zero_area,,,,,1994389.0,ns,122
any_circle_zero_area,,,,,2907939.0,ns,183
any_circle_zero_area,,,,,4511905.0,ns,244
any_circle_zero_area,,,,,4983212.0,ns,305
any_circle_zero_area,,,,,6546516.0,ns,366
any_circle_zero_area,,,,,7312127.0,ns,427
any_circle_zero_area,,,,,7756727.0,ns,488
any_circle_zero_area,,,,,8662100.0,ns,549
any_circle_zero_area,,,,,9473514.0,ns,610
any_circle_zero_area,,,,,10885237.0,ns,671
any_circle_zero_area,,,,,12092861.0,ns,732
any_circle_zero_area,,,,,12493370.0,ns,793
any_circle_zero_area,,,,,14580137.0,ns,854
any_circle_zero_area,,,,,15865097.0,ns,915
any_circle_zero_area,,,,,16495437.0,ns,976
any_circle_zero_area,,,,,16963317.0,ns,1037
any_circle_zero_area,,,,,20789306.0,ns,1098
any_circle_zero_area,,,,,18914077.0,ns,1159
any_circle_zero_area,,,,,20303195.0,ns,1220
any_circle_zero_area,,,,,20974960.0,ns,1281
any_circle_zero_area,,,,,22542576.0,ns,1342
any_circle_zero_area,,,,,23225701.0,ns,1403
any_circle_zero_area,,,,,23455208.0,ns,1464
any_circle_zero_area,,,,,25230632.0,ns,1525
any_circle_zero_area,,,,,26451119.0,ns,1586
any_circle_zero_area,,,,,26968793.0,ns,1647
any_circle_zero_area,,,,,27570678.0,ns,1708
any_circle_zero_area,,,,,29195423.0,ns,1769
any_circle_zero_area,,,,,29766094.0,ns,1830
any_circle_zero_area,,,,,30082826.0,ns,1891
any_circle_zero_area,,,,,31375479.0,ns,1952
any_circle_zero_area,,,,,33174830.0,ns,2013
any_circle_zero_area,,,,,33687694.0,ns,2074
any_circle_zero_area,,,,,35880340.0,ns,2135
any_circle_zero_area,,,,,34881778.0,ns,2196
any_circle_zero_area,,,,,36725701.0,ns,2257
any_circle_zero_area,,,,,38323411.0,ns,2318
any_circle_zero_area,,,,,38022893.0,ns,2379
any_circle_zero_area,,,,,39473224.0,ns,2440
any_circle_zero_area,,,,,40389539.0,ns,2501
any_circle_zero_area,,,,,40303242.0,ns,2562
any_circle_zero_area,,,,,41817169.0,ns,2623
any_circle_zero_area,,,,,44241807.0,ns,2684
any_circle_zero_area,,,,,44907324.0,ns,2745
any_circle_zero_area,,,,,45638286.0,ns,2806
any_circle_zero_area,,,,,45857869.0,ns,2867
any_circle_zero_area,,,,,49277837.0,ns,2928
any_circle_zero_area,,,,,48921709.0,ns,2989
any_circle_zero_area,,,,,56205876.0,ns,3050
any_circle_zero_area,,,,,50338668.0,ns,3111
any_circle_zero_area,,,,,50942816.0,ns,3172
any_circle_zero_area,,,,,52850618.0,ns,3233
any_circle_zero_area,,,,,51897575.0,ns,3294
any_circle_zero_area,,,,,54338579.0,ns,3355
any_circle_zero_area,,,,,56054957.0,ns,3416
any_circle_zero_area,,,,,57450227.0,ns,3477
any_circle_zero_area,,,,,58639148.0,ns,3538
any_circle_zero_area,,,,,58652879.0,ns,3599
any_circle_zero_area,,,,,63866907.0,ns,3660
any_circle_zero_area,,,,,58045284.0,ns,3721
any_circle_zero_area,,,,,61243107.0,ns,3782
any_circle_zero_area,,,,,62428502.0,ns,3843
any_circle_zero_area,,,,,63231111.0,ns,3904
any_circle_zero_area,,,,,64656945.0,ns,3965
any_circle_zero_area,,,,,67329065.0,ns,4026
any_circle_zero_area,,,,,67977450.0,ns,4087
any_circle_zero_area,,,,,69371830.0,ns,4148
any_circle_zero_area,,,,,68844600.0,ns,4209
any_circle_zero_area,,,,,70733222.0,ns,4270
any_circle_zero_area,,,,,71848807.0,ns,4331
any_circle_zero_area,,,,,75294009.0,ns,4392
any_circle_zero_area,,,,,76602411.0,ns,4453
any_circle_zero_area,,,,,74618666.0,ns,4514
any_circle_zero_area,,,,,76986431.0,ns,4575
any_circle_zero_area,,,,,75938211.0,ns,4636
any_circle_zero_area,,,,,79141184.0,ns,4697
any_circle_zero_area,,,,,77308634.0,ns,4758
any_circle_zero_area,,,,,78716323.0,ns,4819
any_circle_zero_area,,,,,78246113.0,ns,4880
any_circle_zero_area,,,,,79399801.0,ns,4941
any_circle_zero_area,,,,,83437354.0,ns,5002
any_circle_zero_area,,,,,82079422.0,ns,5063
any_circle_zero_area,,,,,85541995.0,ns,5124
any_circle_zero_area,,,,,85447080.0,ns,5185
any_circle_zero_area,,,,,83794280.0,ns,5246
any_circle_zero_area,,,,,86685044.0,ns,5307
any_circle_zero_area,,,,,91734569.0,ns,5368
any_circle_zero_area,,,,,86359263.0,ns,5429
any_circle_zero_area,,,,,88847738.0,ns,5490
any_circle_zero_area,,,,,91881250.0,ns,5551
any_circle_zero_area,,,,,92058079.0,ns,5612
any_circle_zero_area,,,,,92569556.0,ns,5673
any_circle_zero_area,,,,,93229717.0,ns,5734
any_circle_zero_area,,,,,96292063.0,ns,5795
any_circle_zero_area,,,,,98325831.0,ns,5856
any_circle_zero_area,,,,,97347477.0,ns,5917
any_circle_zero_area,,,,,97566069.0,ns,5978
any_circle_zero_area,,,,,98565340.0,ns,6039
any_circle_zero_area,,,,,100626554.0,ns,6100
