group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_686901248,,,,,915837.0,ns,1205
hailstone_sequence_append_686901248,,,,,2099777.0,ns,2410
hailstone_sequence_append_686901248,,,,,2823883.0,ns,3615
hailstone_sequence_append_686901248,,,,,3931892.0,ns,4820
hailstone_sequence_append_686901248,,,,,4945630.0,ns,6025
hailstone_sequence_append_686901248,,,,,6479128.0,ns,7230
hailstone_sequence_append_686901248,,,,,7526475.0,ns,8435
hailstone_sequence_append_686901248,,,,,8656369.0,ns,9640
hailstone_sequence_append_686901248,,,,,9517741.0,ns,10845
hailstone_sequence_append_686901248,,,,,9754663.0,ns,12050
hailstone_sequence_append_686901248,,,,,11006970.0,ns,13255
hailstone_sequence_append_686901248,,,,,12038666.0,ns,14460
hailstone_sequence_append_686901248,,,,,12385241.0,ns,15665
hailstone_sequence_append_686901248,,,,,13671853.0,ns,16870
hailstone_sequence_append_686901248,,,,,14566735.0,ns,18075
hailstone_sequence_append_686901248,,,,,15468656.0,ns,19280
hailstone_sequence_append_686901248,,,,,17125802.0,ns,20485
hailstone_sequence_append_686901248,,,,,17522846.0,ns,21690
hailstone_sequence_append_686901248,,,,,18251653.0,ns,22895
hailstone_sequence_append_686901248,,,,,19579421.0,ns,24100
hailstone_sequence_append_686901248,,,,,20062228.0,ns,25305
hailstone_sequence_append_686901248,,,,,21854956.0,ns,26510
hailstone_sequence_append_686901248,,,,,21732086.0,ns,27715
hailstone_sequence_append_686901248,,,,,24485470.0,ns,28920
hailstone_sequence_append_686901248,,,,,25523269.0,ns,30125
hailstone_sequence_append_686901248,,,,,25419856.0,ns,31330
hailstone_sequence_append_686901248,,,,,25676118.0,ns,32535
hailstone_sequence_append_686901248,,,,,27400863.0,ns,33740
hailstone_sequence_append_686901248,,,,,29843417.0,ns,34945
hailstone_sequence_append_686901248,,,,,30036935.0,ns,36150
hailstone_sequence_append_686901248,,,,,30994491.0,ns,37355
hailstone_sequence_append_686901248,,,,,30011083.0,ns,38560
hailstone_sequence_append_686901248,,,,,31857310.0,ns,39765
hailstone_sequence_append_686901248,,,,,32993050.0,ns,40970
hailstone_sequence_append_686901248,,,,,35194964.0,ns,42175
hailstone_sequence_append_686901248,,,,,35983780.0,ns,43380
hailstone_sequence_append_686901248,,,,,36098901.0,ns,44585
hailstone_sequence_append_686901248,,,,,36454435.0,ns,45790
hailstone_sequence_append_686901248,,,,,38624115.0,ns,46995
hailstone_sequence_append_686901248,,,,,41479916.0,ns,48200
hailstone_sequence_append_686901248,,,,,42705634.0,ns,49405
hailstone_sequence_append_686901248,,,,,42910094.0,ns,50610
hailstone_sequence_append_686901248,,,,,42883594.0,ns,51815
hailstone_sequence_append_686901248,,,,,44781525.0,ns,53020
hailstone_sequence_append_686901248,,,,,43917997.0,ns,54225
hailstone_sequence_append_686901248,,,,,45989567.0,ns,55430
hailstone_sequence_append_686901248,,,,,48486644.0,ns,56635
hailstone_sequence_append_686901248,,,,,45963716.0,ns,57840
hailstone_sequence_append_686901248,,,,,47346776.0,ns,59045
hailstone_sequence_append_686901248,,,,,48105250.0,ns,60250
hailstone_sequence_append_686901248,,,,,51067892.0,ns,61455
hailstone_sequence_append_686901248,,,,,49685728.0,ns,62660
hailstone_sequence_append_686901248,,,,,50850224.0,ns,63865
hailstone_sequence_append_686901248,,,,,52123219.0,ns,65070
hailstone_sequence_append_686901248,,,,,54423895.0,ns,66275
hailstone_sequence_append_686901248,,,,,55132503.0,ns,67480
hailstone_sequence_append_686901248,,,,,55002911.0,ns,68685
hailstone_sequence_append_686901248,,,,,57031846.0,ns,69890
