group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_7,,,,,942898.0,ns,7880
hailstone_sequence_append_7,,,,,1872456.0,ns,15760
hailstone_sequence_append_7,,,,,2957889.0,ns,23640
hailstone_sequence_append_7,,,,,4097507.0,ns,31520
hailstone_sequence_append_7,,,,,4793218.0,ns,39400
hailstone_sequence_append_7,,,,,6163273.0,ns,47280
hailstone_sequence_append_7,,,,,7176448.0,ns,55160
hailstone_sequence_append_7,,,,,7616647.0,ns,63040
hailstone_sequence_append_7,,,,,8792885.0,ns,70920
hailstone_sequence_append_7,,,,,9636783.0,ns,78800
hailstone_sequence_append_7,,,,,10931020.0,ns,86680
hailstone_sequence_append_7,,,,,11747159.0,ns,94560
hailstone_sequence_append_7,,,,,13508202.0,ns,102440
hailstone_sequence_append_7,,,,,14693440.0,ns,110320
hailstone_sequence_append_7,,,,,15570872.0,ns,118200
hailstone_sequence_append_7,,,,,15866344.0,ns,126080
hailstone_sequence_append_7,,,,,16996692.0,ns,133960
hailstone_sequence_append_7,,,,,18061355.0,ns,141840
hailstone_sequence_append_7,,,,,19136408.0,ns,149720
hailstone_sequence_append_7,,,,,19462684.0,ns,157600
hailstone_sequence_append_7,,,,,21644966.0,ns,165480
hailstone_sequence_append_7,,,,,20867654.0,ns,173360
hailstone_sequence_append_7,,,,,22901763.0,ns,181240
hailstone_sequence_append_7,,,,,24648853.0,ns,189120
hailstone_sequence_append_7,,,,,25029148.0,ns,197000
hailstone_sequence_append_7,,,,,25549537.0,ns,204880
hailstone_sequence_append_7,,,,,27107052.0,ns,212760
hailstone_sequence_append_7,,,,,28101721.0,ns,220640
hailstone_sequence_append_7,,,,,28646122.0,ns,228520
hailstone_sequence_append_7,,,,,30715545.0,ns,236400
hailstone_sequence_append_7,,,,,29909940.0,ns,244280
hailstone_sequence_append_7,,,,,31436658.0,ns,252160
hailstone_sequence_append_7,,,,,33192370.0,ns,260040
hailstone_sequence_append_7,,,,,32862580.0,ns,267920
hailstone_sequence_append_7,,,,,34903497.0,ns,275800
hailstone_sequence_append_7,,,,,34422678.0,ns,283680
hailstone_sequence_append_7,,,,,37755467.0,ns,291560
hailstone_sequence_append_7,,,,,37809078.0,ns,299440
hailstone_sequence_append_7,,,,,38391466.0,ns,307320
hailstone_sequence_append_7,,,,,38591079.0,ns,315200
hailstone_sequence_append_7,,,,,41914885.0,ns,323080
hailstone_sequence_append_7,,,,,42432498.0,ns,330960
hailstone_sequence_append_7,,,,,42359943.0,ns,338840
hailstone_sequence_append_7,,,,,44598352.0,ns,346720
hailstone_sequence_append_7,,,,,44594949.0,ns,354600
hailstone_sequence_append_7,,,,,43410000.0,ns,362480
hailstone_sequence_append_7,,,,,46301838.0,ns,370360
hailstone_sequence_append_7,,,,,46343070.0,ns,378240
hailstone_sequence_append_7,,,,,49863525.0,ns,386120
hailstone_sequence_append_7,,,,,50135415.0,ns,394000
hailstone_sequence_append_7,,,,,49388616.0,ns,401880
hailstone_sequence_append_7,,,,,51933583.0,ns,409760
hailstone_sequence_append_7,,,,,51935441.0,ns,417640
hailstone_sequence_append_7,,,,,54943172.0,ns,425520
hailstone_sequence_append_7,,,,,55145681.0,ns,433400
hailstone_sequence_append_7,,,,,56020568.0,ns,441280
hailstone_sequence_append_7,,,,,57020377.0,ns,449160
hailstone_sequence_append_7,,,,,57368555.0,ns,457040
hailstone_sequence_append_7,,,,,59244373.0,ns,464920
hailstone_sequence_append_7,,,,,59278713.0,ns,472800
