group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_prealloc_686901248,,,,,958034.0,ns,1130
hailstone_sequence_prealloc_686901248,,,,,2207955.0,ns,2260
hailstone_sequence_prealloc_686901248,,,,,2930776.0,ns,3390
hailstone_sequence_prealloc_686901248,,,,,3863831.0,ns,4520
hailstone_sequence_prealloc_686901248,,,,,5199443.0,ns,5650
hailstone_sequence_prealloc_686901248,,,,,5845626.0,ns,6780
hailstone_sequence_prealloc_686901248,,,,,6776177.0,ns,7910
hailstone_sequence_prealloc_686901248,,,,,8013770.0,ns,9040
hailstone_sequence_prealloc_686901248,,,,,8841629.0,ns,10170
hailstone_sequence_prealloc_686901248,,,,,9913831.0,ns,11300
hailstone_sequence_prealloc_686901248,,,,,10860752.0,ns,12430
hailstone_sequence_prealloc_686901248,,,,,11729348.0,ns,13560
hailstone_sequence_prealloc_686901248,,,,,13441537.0,ns,14690
hailstone_sequence_prealloc_686901248,,,,,13941298.0,ns,15820
hailstone_sequence_prealloc_686901248,,,,,14729400.0,ns,16950
hailstone_sequence_prealloc_686901248,,,,,15721234.0,ns,18080
hailstone_sequence_prealloc_686901248,,,,,16814761.0,ns,19210
hailstone_sequence_prealloc_686901248,,,,,17897969.0,ns,20340
hailstone_sequence_prealloc_686901248,,,,,18548886.0,ns,21470
hailstone_sequence_prealloc_686901248,,,,,19835140.0,ns,22600
hailstone_sequence_prealloc_686901248,,,,,20462846.0,ns,23730
hailstone_sequence_prealloc_686901248,,,,,21876419.0,ns,24860
hailstone_sequence_prealloc_686901248,,,,,22638423.0,ns,25990
hailstone_sequence_prealloc_686901248,,,,,23811966.0,ns,27120
hailstone_sequence_prealloc_686901248,,,,,24751926.0,ns,28250
hailstone_sequence_prealloc_686901248,,,,,26324770.0,ns,29380
hailstone_sequence_prealloc_686901248,,,,,26682326.0,ns,30510
hailstone_sequence_prealloc_686901248,,,,,27849116.0,ns,31640
hailstone_sequence_prealloc_686901248,,,,,29439156.0,ns,32770
hailstone_sequence_prealloc_686901248,,,,,29219058.0,ns,33900
hailstone_sequence_prealloc_686901248,,,,,30500867.0,ns,35030
hailstone_sequence_prealloc_686901248,,,,,31288695.0,ns,36160
hailstone_sequence_prealloc_686901248,,,,,32437793.0,ns,37290
hailstone_sequence_prealloc_686901248,,,,,33347647.0,ns,38420
hailstone_sequence_prealloc_686901248,,,,,34256036.0,ns,39550
hailstone_sequence_prealloc_686901248,,,,,35776445.0,ns,40680
hailstone_sequence_prealloc_686901248,,,,,36280389.0,ns,41810
hailstone_sequence_prealloc_686901248,,,,,37264341.0,ns,42940
hailstone_sequence_prealloc_686901248,,,,,38427056.0,ns,44070
hailstone_sequence_prealloc_686901248,,,,,39516812.0,ns,45200
hailstone_sequence_prealloc_686901248,,,,,40942120.0,ns,46330
hailstone_sequence_prealloc_686901248,,,,,41398318.0,ns,47460
hailstone_sequence_prealloc_686901248,,,,,41752705.0,ns,48590
hailstone_sequence_prealloc_686901248,,,,,43426091.0,ns,49720
hailstone_sequence_prealloc_686901248,,,,,44159226.0,ns,50850
hailstone_sequence_prealloc_686901248,,,,,45586770.0,ns,51980
hailstone_sequence_prealloc_686901248,,,,,46462037.0,ns,53110
hailstone_sequence_prealloc_686901248,,,,,47839306.0,ns,54240
hailstone_sequence_prealloc_686901248,,,,,48570307.0,ns,55370
hailstone_sequence_prealloc_686901248,,,,,49117352.0,ns,56500
hailstone_sequence_prealloc_686901248,,,,,49861019.0,ns,57630
hailstone_sequence_prealloc_686901248,,,,,51371589.0,ns,58760
