group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_prealloc_7,,,,,1177954.0,ns,15999
hailstone_sequence_prealloc_7,,,,,1883012.0,ns,31998
hailstone_sequence_prealloc_7,,,,,2655575.0,ns,47997
hailstone_sequence_prealloc_7,,,,,3526223.0,ns,63996
hailstone_sequence_prealloc_7,,,,,4751542.0,ns,79995
hailstone_sequence_prealloc_7,,,,,6587106.0,ns,95994
hailstone_sequence_prealloc_7,,,,,6897080.0,ns,111993
hailstone_sequence_prealloc_7,,,,,9309473.0,ns,127992
hailstone_sequence_prealloc_7,,,,,8866562.0,ns,143991
hailstone_sequence_prealloc_7,,,,,10244460.0,ns,159990
hailstone_sequence_prealloc_7,,,,,10638720.0,ns,175989
hailstone_sequence_prealloc_7,,,,,11326265.0,ns,191988
hailstone_sequence_prealloc_7,,,,,12157636.0,ns,207987
hailstone_sequence_prealloc_7,,,,,13586668.0,ns,223986
hailstone_sequence_prealloc_7,,,,,15359764.0,ns,239985
hailstone_sequence_prealloc_7,,,,,14991942.0,ns,255984
hailstone_sequence_prealloc_7,,,,,17008724.0,ns,271983
hailstone_sequence_prealloc_7,,,,,18830921.0,ns,287982
hailstone_sequence_prealloc_7,,,,,19525117.0,ns,303981
hailstone_sequence_prealloc_7,,,,,22097537.0,ns,319980
hailstone_sequence_prealloc_7,,,,,21484775.0,ns,335979
hailstone_sequence_prealloc_7,,,,,21313444.0,ns,351978
hailstone_sequence_prealloc_7,,,,,21512757.0,ns,367977
hailstone_sequence_prealloc_7,,,,,23338456.0,ns,383976
hailstone_sequence_prealloc_7,,,,,26299274.0,ns,399975
hailstone_sequence_prealloc_7,,,,,25499101.0,ns,415974
hailstone_sequence_prealloc_7,,,,,25388240.0,ns,431973
hailstone_sequence_prealloc_7,,,,,27537056.0,ns,447972
hailstone_sequence_prealloc_7,,,,,28659114.0,ns,463971
hailstone_sequence_prealloc_7,,,,,30044360.0,ns,479970
hailstone_sequence_prealloc_7,,,,,30666047.0,ns,495969
hailstone_sequence_prealloc_7,,,,,33708988.0,ns,511968
hailstone_sequence_prealloc_7,,,,,33105259.0,ns,527967
hailstone_sequence_prealloc_7,,,,,31489730.0,ns,543966
hailstone_sequence_prealloc_7,,,,,32800152.0,ns,559965
hailstone_sequence_prealloc_7,,,,,33849940.0,ns,575964
hailstone_sequence_prealloc_7,,,,,37005472.0,ns,591963
hailstone_sequence_prealloc_7,,,,,38321191.0,ns,607962
hailstone_sequence_prealloc_7,,,,,38313001.0,ns,623961
hailstone_sequence_prealloc_7,,,,,38052760.0,ns,639960
hailstone_sequence_prealloc_7,,,,,43029674.0,ns,655959
hailstone_sequence_prealloc_7,,,,,40897711.0,ns,671958
hailstone_sequence_prealloc_7,,,,,40174676.0,ns,687957
hailstone_sequence_prealloc_7,,,,,44580180.0,ns,703956
hailstone_sequence_prealloc_7,,,,,44310525.0,ns,719955
hailstone_sequence_prealloc_7,,,,,44238579.0,ns,735954
hailstone_sequence_prealloc_7,,,,,45427951.0,ns,751953
hailstone_sequence_prealloc_7,,,,,49021849.0,ns,767952
hailstone_sequence_prealloc_7,,,,,49185390.0,ns,783951
hailstone_sequence_prealloc_7,,,,,48136674.0,ns,799950
hailstone_sequence_prealloc_7,,,,,50929456.0,ns,815949
