group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
.sort,,,,,1203010.0,ns,4
.sort,,,,,2523945.0,ns,8
.sort,,,,,3871809.0,ns,12
.sort,,,,,4816927.0,ns,16
.sort,,,,,5946341.0,ns,20
.sort,,,,,7239909.0,ns,24
.sort,,,,,8587884.0,ns,28
.sort,,,,,9830090.0,ns,32
.sort,,,,,10726891.0,ns,36
.sort,,,,,12081287.0,ns,40
.sort,,,,,13371995.0,ns,44
.sort,,,,,14470320.0,ns,48
.sort,,,,,15637515.0,ns,52
.sort,,,,,17314550.0,ns,56
.sort,,,,,18354163.0,ns,60
.sort,,,,,19606350.0,ns,64
.sort,,,,,20482100.0,ns,68
.sort,,,,,22225528.0,ns,72
.sort,,,,,22834701.0,ns,76
.sort,,,,,24274708.0,ns,80
.sort,,,,,25357214.0,ns,84
.sort,,,,,26304711.0,ns,88
.sort,,,,,28348279.0,ns,92
.sort,,,,,28649931.0,ns,96
.sort,,,,,30346392.0,ns,100
.sort,,,,,31870600.0,ns,104
.sort,,,,,32941975.0,ns,108
.sort,,,,,34602364.0,ns,112
.sort,,,,,34772353.0,ns,116
.sort,,,,,36317691.0,ns,120
.sort,,,,,37389576.0,ns,124
.sort,,,,,39328368.0,ns,128
.sort,,,,,42181320.0,ns,132
.sort,,,,,41736728.0,ns,136
.sort,,,,,42092474.0,ns,140
.sort,,,,,43036888.0,ns,144
.sort,,,,,44465068.0,ns,148
.sort,,,,,45703500.0,ns,152
.sort,,,,,47233163.0,ns,156
.sort,,,,,47892002.0,ns,160
.sort,,,,,49827571.0,ns,164
.sort,,,,,50432475.0,ns,168
.sort,,,,,51819901.0,ns,172
.sort,,,,,54498129.0,ns,176
.sort,,,,,54396891.0,ns,180
.sort,,,,,56932911.0,ns,184
.sort,,,,,57122411.0,ns,188
.sort,,,,,60535709.0,ns,192
.sort,,,,,59667171.0,ns,196
.sort,,,,,61077428.0,ns,200
.sort,,,,,62241194.0,ns,204
.sort,,,,,63198904.0,ns,208
.sort,,,,,65021485.0,ns,212
.sort,,,,,66315899.0,ns,216
.sort,,,,,66326995.0,ns,220
.sort,,,,,67436212.0,ns,224
.sort,,,,,68983646.0,ns,228
.sort,,,,,69973947.0,ns,232
.sort,,,,,70763166.0,ns,236
.sort,,,,,73555717.0,ns,240
.sort,,,,,74619350.0,ns,244
.sort,,,,,75474271.0,ns,248
.sort,,,,,77788581.0,ns,252
.sort,,,,,77436464.0,ns,256
.sort,,,,,79193884.0,ns,260
.sort,,,,,83138415.0,ns,264
.sort,,,,,81885080.0,ns,268
.sort,,,,,82124315.0,ns,272
.sort,,,,,83360230.0,ns,276
.sort,,,,,84617328.0,ns,280
.sort,,,,,86718656.0,ns,284
.sort,,,,,87888113.0,ns,288
.sort,,,,,88313371.0,ns,292
.sort,,,,,88999478.0,ns,296
.sort,,,,,90933709.0,ns,300
.sort,,,,,92240561.0,ns,304
.sort,,,,,93157829.0,ns,308
.sort,,,,,94160213.0,ns,312
.sort,,,,,95105558.0,ns,316
.sort,,,,,96223964.0,ns,320
.sort,,,,,97776006.0,ns,324
.sort,,,,,99548393.0,ns,328
.sort,,,,,100729030.0,ns,332
.sort,,,,,101056445.0,ns,336
.sort,,,,,102759756.0,ns,340
.sort,,,,,104702301.0,ns,344
.sort,,,,,106333269.0,ns,348
.sort,,,,,108334451.0,ns,352
.sort,,,,,107163485.0,ns,356
.sort,,,,,108848852.0,ns,360
.sort,,,,,109365293.0,ns,364
.sort,,,,,110990103.0,ns,368
.sort,,,,,113460911.0,ns,372
.sort,,,,,114107505.0,ns,376
.sort,,,,,115084732.0,ns,380
.sort,,,,,117967465.0,ns,384
.sort,,,,,118061765.0,ns,388
.sort,,,,,119407439.0,ns,392
.sort,,,,,121401719.0,ns,396
.sort,,,,,120537062.0,ns,400
