group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion_sort,,,,,57450055.0,ns,5
insertion_sort,,,,,56440736.0,ns,5
insertion_sort,,,,,56238050.0,ns,5
insertion_sort,,,,,56542007.0,ns,5
insertion_sort,,,,,56654295.0,ns,5
insertion_sort,,,,,56797457.0,ns,5
insertion_sort,,,,,57909652.0,ns,5
insertion_sort,,,,,58928485.0,ns,5
insertion_sort,,,,,57149727.0,ns,5
insertion_sort,,,,,56513901.0,ns,5
insertion_sort,,,,,57748685.0,ns,5
insertion_sort,,,,,56237183.0,ns,5
insertion_sort,,,,,58925750.0,ns,5
insertion_sort,,,,,63856124.0,ns,5
insertion_sort,,,,,58440682.0,ns,5
insertion_sort,,,,,58308200.0,ns,5
insertion_sort,,,,,56493869.0,ns,5
insertion_sort,,,,,56713051.0,ns,5
insertion_sort,,,,,56773323.0,ns,5
insertion_sort,,,,,56512585.0,ns,5
insertion_sort,,,,,56373075.0,ns,5
insertion_sort,,,,,56982871.0,ns,5
insertion_sort,,,,,55961446.0,ns,5
insertion_sort,,,,,56451720.0,ns,5
insertion_sort,,,,,57825993.0,ns,5
insertion_sort,,,,,57121087.0,ns,5
insertion_sort,,,,,56690370.0,ns,5
insertion_sort,,,,,59621041.0,ns,5
insertion_sort,,,,,56217913.0,ns,5
insertion_sort,,,,,56313581.0,ns,5
insertion_sort,,,,,57019499.0,ns,5
insertion_sort,,,,,56387667.0,ns,5
insertion_sort,,,,,56923385.0,ns,5
insertion_sort,,,,,56407024.0,ns,5
insertion_sort,,,,,56576292.0,ns,5
insertion_sort,,,,,56304749.0,ns,5
insertion_sort,,,,,56951546.0,ns,5
insertion_sort,,,,,57796730.0,ns,5
insertion_sort,,,,,57086566.0,ns,5
insertion_sort,,,,,57534635.0,ns,5
insertion_sort,,,,,57124177.0,ns,5
insertion_sort,,,,,56814538.0,ns,5
insertion_sort,,,,,57379456.0,ns,5
insertion_sort,,,,,56839734.0,ns,5
insertion_sort,,,,,57672170.0,ns,5
insertion_sort,,,,,57487563.0,ns,5
insertion_sort,,,,,56914888.0,ns,5
insertion_sort,,,,,60594676.0,ns,5
insertion_sort,,,,,61376125.0,ns,5
insertion_sort,,,,,57412379.0,ns,5
insertion_sort,,,,,56612121.0,ns,5
insertion_sort,,,,,57466186.0,ns,5
insertion_sort,,,,,56583314.0,ns,5
insertion_sort,,,,,58192151.0,ns,5
insertion_sort,,,,,58204931.0,ns,5
insertion_sort,,,,,57032158.0,ns,5
insertion_sort,,,,,57766891.0,ns,5
insertion_sort,,,,,57967224.0,ns,5
insertion_sort,,,,,60600084.0,ns,5
insertion_sort,,,,,59313862.0,ns,5
insertion_sort,,,,,59489457.0,ns,5
insertion_sort,,,,,58094229.0,ns,5
insertion_sort,,,,,58208580.0,ns,5
insertion_sort,,,,,59543784.0,ns,5
insertion_sort,,,,,58448665.0,ns,5
insertion_sort,,,,,57170547.0,ns,5
insertion_sort,,,,,58279452.0,ns,5
insertion_sort,,,,,58861146.0,ns,5
insertion_sort,,,,,57040376.0,ns,5
insertion_sort,,,,,57929099.0,ns,5
insertion_sort,,,,,57474989.0,ns,5
insertion_sort,,,,,56424965.0,ns,5
insertion_sort,,,,,56565345.0,ns,5
insertion_sort,,,,,56490094.0,ns,5
insertion_sort,,,,,57171216.0,ns,5
insertion_sort,,,,,56840383.0,ns,5
insertion_sort,,,,,56526390.0,ns,5
insertion_sort,,,,,57442564.0,ns,5
insertion_sort,,,,,56965892.0,ns,5
insertion_sort,,,,,58300881.0,ns,5
insertion_sort,,,,,57465707.0,ns,5
insertion_sort,,,,,58811578.0,ns,5
insertion_sort,,,,,69685665.0,ns,5
insertion_sort,,,,,57092577.0,ns,5
insertion_sort,,,,,58984564.0,ns,5
insertion_sort,,,,,56800921.0,ns,5
insertion_sort,,,,,57626335.0,ns,5
insertion_sort,,,,,58684970.0,ns,5
insertion_sort,,,,,58316683.0,ns,5
insertion_sort,,,,,56743196.0,ns,5
insertion_sort,,,,,58925710.0,ns,5
insertion_sort,,,,,58214754.0,ns,5
insertion_sort,,,,,58091952.0,ns,5
insertion_sort,,,,,57615239.0,ns,5
insertion_sort,,,,,57305640.0,ns,5
insertion_sort,,,,,57667808.0,ns,5
insertion_sort,,,,,58519735.0,ns,5
insertion_sort,,,,,57295832.0,ns,5
insertion_sort,,,,,57449507.0,ns,5
insertion_sort,,,,,57288223.0,ns,5
