group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insertion_sort,,,,,56746300.0,ns,5
insertion_sort,,,,,56656179.0,ns,5
insertion_sort,,,,,57064119.0,ns,5
insertion_sort,,,,,56438944.0,ns,5
insertion_sort,,,,,56775231.0,ns,5
insertion_sort,,,,,56725097.0,ns,5
insertion_sort,,,,,56604805.0,ns,5
insertion_sort,,,,,57368840.0,ns,5
insertion_sort,,,,,56885571.0,ns,5
insertion_sort,,,,,57189796.0,ns,5
insertion_sort,,,,,57570934.0,ns,5
insertion_sort,,,,,56016861.0,ns,5
insertion_sort,,,,,56988928.0,ns,5
insertion_sort,,,,,56552983.0,ns,5
insertion_sort,,,,,56413761.0,ns,5
insertion_sort,,,,,57246375.0,ns,5
insertion_sort,,,,,55877600.0,ns,5
insertion_sort,,,,,56983985.0,ns,5
insertion_sort,,,,,57506306.0,ns,5
insertion_sort,,,,,58118032.0,ns,5
insertion_sort,,,,,56172238.0,ns,5
insertion_sort,,,,,58247834.0,ns,5
insertion_sort,,,,,57251926.0,ns,5
insertion_sort,,,,,56390140.0,ns,5
insertion_sort,,,,,56287973.0,ns,5
insertion_sort,,,,,58222009.0,ns,5
insertion_sort,,,,,57780912.0,ns,5
insertion_sort,,,,,57567881.0,ns,5
insertion_sort,,,,,57030759.0,ns,5
insertion_sort,,,,,58628735.0,ns,5
insertion_sort,,,,,57356762.0,ns,5
insertion_sort,,,,,55896953.0,ns,5
insertion_sort,,,,,56526799.0,ns,5
insertion_sort,,,,,58173047.0,ns,5
insertion_sort,,,,,56686836.0,ns,5
insertion_sort,,,,,56901633.0,ns,5
insertion_sort,,,,,58646708.0,ns,5
insertion_sort,,,,,57353337.0,ns,5
insertion_sort,,,,,56713930.0,ns,5
insertion_sort,,,,,57552195.0,ns,5
insertion_sort,,,,,56068951.0,ns,5
insertion_sort,,,,,57674423.0,ns,5
insertion_sort,,,,,57383283.0,ns,5
insertion_sort,,,,,56897407.0,ns,5
insertion_sort,,,,,57162831.0,ns,5
insertion_sort,,,,,56666082.0,ns,5
insertion_sort,,,,,56713898.0,ns,5
insertion_sort,,,,,57588505.0,ns,5
insertion_sort,,,,,57338915.0,ns,5
insertion_sort,,,,,56134124.0,ns,5
insertion_sort,,,,,57649798.0,ns,5
insertion_sort,,,,,56920226.0,ns,5
insertion_sort,,,,,56549527.0,ns,5
insertion_sort,,,,,58070437.0,ns,5
insertion_sort,,,,,57048521.0,ns,5
insertion_sort,,,,,57531999.0,ns,5
insertion_sort,,,,,57917674.0,ns,5
insertion_sort,,,,,58155016.0,ns,5
insertion_sort,,,,,58019286.0,ns,5
insertion_sort,,,,,57250862.0,ns,5
insertion_sort,,,,,56334637.0,ns,5
insertion_sort,,,,,56668794.0,ns,5
insertion_sort,,,,,57043596.0,ns,5
insertion_sort,,,,,58426936.0,ns,5
insertion_sort,,,,,56797337.0,ns,5
insertion_sort,,,,,57626477.0,ns,5
insertion_sort,,,,,57107401.0,ns,5
insertion_sort,,,,,55856334.0,ns,5
insertion_sort,,,,,57996501.0,ns,5
insertion_sort,,,,,56855321.0,ns,5
insertion_sort,,,,,56146244.0,ns,5
insertion_sort,,,,,55729743.0,ns,5
insertion_sort,,,,,57379044.0,ns,5
insertion_sort,,,,,57705115.0,ns,5
insertion_sort,,,,,56155119.0,ns,5
insertion_sort,,,,,55954462.0,ns,5
insertion_sort,,,,,56277961.0,ns,5
insertion_sort,,,,,56750391.0,ns,5
insertion_sort,,,,,56649000.0,ns,5
insertion_sort,,,,,57574727.0,ns,5
insertion_sort,,,,,55945413.0,ns,5
insertion_sort,,,,,56561271.0,ns,5
insertion_sort,,,,,56674637.0,ns,5
insertion_sort,,,,,56812154.0,ns,5
insertion_sort,,,,,56523028.0,ns,5
insertion_sort,,,,,57265353.0,ns,5
insertion_sort,,,,,55976515.0,ns,5
insertion_sort,,,,,57333874.0,ns,5
insertion_sort,,,,,57002804.0,ns,5
insertion_sort,,,,,57607370.0,ns,5
insertion_sort,,,,,57140901.0,ns,5
insertion_sort,,,,,56638998.0,ns,5
insertion_sort,,,,,57085247.0,ns,5
insertion_sort,,,,,58132972.0,ns,5
insertion_sort,,,,,55732269.0,ns,5
insertion_sort,,,,,56364754.0,ns,5
insertion_sort,,,,,56462666.0,ns,5
insertion_sort,,,,,58435684.0,ns,5
insertion_sort,,,,,57938104.0,ns,5
insertion_sort,,,,,56474406.0,ns,5
