group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quicksort,,,,,992377.0,ns,2
quicksort,,,,,2010912.0,ns,4
quicksort,,,,,3034721.0,ns,6
quicksort,,,,,4076762.0,ns,8
quicksort,,,,,5115364.0,ns,10
quicksort,,,,,6372811.0,ns,12
quicksort,,,,,7046216.0,ns,14
quicksort,,,,,8258330.0,ns,16
quicksort,,,,,9045332.0,ns,18
quicksort,,,,,10137798.0,ns,20
quicksort,,,,,10941072.0,ns,22
quicksort,,,,,11922812.0,ns,24
quicksort,,,,,13181872.0,ns,26
quicksort,,,,,14136312.0,ns,28
quicksort,,,,,15038880.0,ns,30
quicksort,,,,,15979969.0,ns,32
quicksort,,,,,17048152.0,ns,34
quicksort,,,,,18816265.0,ns,36
quicksort,,,,,19110861.0,ns,38
quicksort,,,,,20036632.0,ns,40
quicksort,,,,,21313700.0,ns,42
quicksort,,,,,21947494.0,ns,44
quicksort,,,,,23050274.0,ns,46
quicksort,,,,,24205286.0,ns,48
quicksort,,,,,25088195.0,ns,50
quicksort,,,,,26885820.0,ns,52
quicksort,,,,,27225009.0,ns,54
quicksort,,,,,28123992.0,ns,56
quicksort,,,,,29059532.0,ns,58
quicksort,,,,,30270952.0,ns,60
quicksort,,,,,32146058.0,ns,62
quicksort,,,,,32525106.0,ns,64
quicksort,,,,,33952730.0,ns,66
quicksort,,,,,34972108.0,ns,68
quicksort,,,,,36493533.0,ns,70
quicksort,,,,,38111107.0,ns,72
quicksort,,,,,38650069.0,ns,74
quicksort,,,,,38926461.0,ns,76
quicksort,,,,,40640734.0,ns,78
quicksort,,,,,41693412.0,ns,80
quicksort,,,,,41648363.0,ns,82
quicksort,,,,,42762602.0,ns,84
quicksort,,,,,45406535.0,ns,86
quicksort,,,,,44424457.0,ns,88
quicksort,,,,,47432433.0,ns,90
quicksort,,,,,49262107.0,ns,92
quicksort,,,,,47558656.0,ns,94
quicksort,,,,,48794210.0,ns,96
quicksort,,,,,50117433.0,ns,98
quicksort,,,,,51249031.0,ns,100
quicksort,,,,,56851610.0,ns,102
quicksort,,,,,53331041.0,ns,104
quicksort,,,,,54931531.0,ns,106
quicksort,,,,,56469078.0,ns,108
quicksort,,,,,56247111.0,ns,110
quicksort,,,,,57874755.0,ns,112
quicksort,,,,,59949522.0,ns,114
quicksort,,,,,61682189.0,ns,116
quicksort,,,,,61457029.0,ns,118
quicksort,,,,,61835075.0,ns,120
quicksort,,,,,62911300.0,ns,122
quicksort,,,,,65080575.0,ns,124
quicksort,,,,,64153865.0,ns,126
quicksort,,,,,65049796.0,ns,128
quicksort,,,,,66326750.0,ns,130
quicksort,,,,,68141253.0,ns,132
quicksort,,,,,69210540.0,ns,134
quicksort,,,,,72171216.0,ns,136
quicksort,,,,,73166449.0,ns,138
quicksort,,,,,71665808.0,ns,140
quicksort,,,,,72359984.0,ns,142
quicksort,,,,,75655050.0,ns,144
quicksort,,,,,78186324.0,ns,146
quicksort,,,,,76712759.0,ns,148
quicksort,,,,,77929441.0,ns,150
quicksort,,,,,79472348.0,ns,152
quicksort,,,,,79761718.0,ns,154
quicksort,,,,,79475206.0,ns,156
quicksort,,,,,82845817.0,ns,158
quicksort,,,,,82171026.0,ns,160
quicksort,,,,,85991906.0,ns,162
quicksort,,,,,83730597.0,ns,164
quicksort,,,,,86489977.0,ns,166
quicksort,,,,,87465622.0,ns,168
quicksort,,,,,88421214.0,ns,170
quicksort,,,,,90064885.0,ns,172
quicksort,,,,,88414129.0,ns,174
quicksort,,,,,89597380.0,ns,176
quicksort,,,,,91393231.0,ns,178
quicksort,,,,,91972709.0,ns,180
quicksort,,,,,93819124.0,ns,182
quicksort,,,,,93419552.0,ns,184
quicksort,,,,,96230685.0,ns,186
quicksort,,,,,96230745.0,ns,188
quicksort,,,,,98237523.0,ns,190
quicksort,,,,,98244010.0,ns,192
quicksort,,,,,100358677.0,ns,194
quicksort,,,,,102905679.0,ns,196
quicksort,,,,,101031865.0,ns,198
quicksort,,,,,101871689.0,ns,200
